order_id,customer_id,product_id,quantity,discount,order_date
1,9876,18959,5,0.24,2025-04-13
2,3414,5079,2,0.18,2025-02-28
3,8272,14557,3,0.29,2023-11-03
4,4745,10757,1,0.28,2023-10-01
5,2631,4800,4,0.13,2023-08-27
6,44,14772,5,0.13,2024-09-19
7,123,14648,4,0.09,2023-12-05
8,2081,115,4,0.01,2025-04-03
9,8015,3373,2,0.28,2025-01-07
10,6073,18766,5,0.05,2024-08-17
11,3846,8087,1,0.05,2025-02-05
12,9560,16396,3,0.04,2025-02-06
13,8325,14086,1,0.1,2024-07-11
14,2088,6538,1,0.26,2025-06-04
15,2700,12358,2,0.11,2023-10-27
16,7374,8868,5,0.29,2024-04-03
17,4601,12957,4,0.21,2024-05-14
18,5005,12661,3,0.1,2024-05-22
19,5945,14792,3,0.2,2025-04-13
20,9320,8742,2,0.08,2024-10-01
21,5509,9071,5,0.04,2024-08-05
22,5225,289,5,0.11,2024-06-04
23,1031,2600,3,0.09,2025-05-31
24,9358,8694,4,0.21,2025-01-03
25,6124,277,3,0.13,2025-07-07
26,6078,7064,3,0.25,2025-03-11
27,5587,9841,2,0.29,2025-05-05
28,8211,18403,1,0.2,2025-08-08
29,2509,13804,1,0.05,2025-01-31
30,7864,9483,5,0.01,2023-12-11
31,5287,14945,5,0.13,2023-10-26
32,9086,14734,2,0.28,2023-12-25
33,5647,5343,1,0.03,2023-09-30
34,9022,19837,4,0.12,2025-07-03
35,1473,2790,1,0.21,2024-11-03
36,9816,14642,4,0.29,2023-09-12
37,635,5359,5,0.27,2024-01-15
38,6926,13915,3,0.07,2024-08-15
39,9106,2511,5,0.25,2024-05-16
40,9487,18010,3,0.25,2024-03-22
41,7615,3500,4,0.05,2023-11-27
42,4352,17056,4,0.17,2024-09-16
43,2697,7714,5,0.21,2024-05-08
44,5855,11301,1,0.2,2024-03-22
45,1668,956,5,0.07,2025-04-03
46,4135,13244,4,0.13,2024-08-05
47,801,16589,5,0.28,2023-10-25
48,4259,17792,1,0.16,2024-08-01
49,2828,15875,2,0.25,2025-06-25
50,4549,14109,1,0.01,2024-07-29
51,1998,2920,3,0.13,2024-06-30
52,6807,7716,1,0.29,2025-02-28
53,1068,864,5,0.08,2024-02-03
54,6067,11175,4,0.21,2024-11-13
55,3152,19751,2,0.25,2025-08-17
56,8483,3321,2,0.08,2024-12-19
57,1705,9374,4,0.12,2025-02-08
58,9546,13051,3,0.16,2024-09-23
59,7066,2853,3,0.18,2023-10-26
60,447,3737,3,0.1,2025-08-09
61,9405,14518,1,0.14,2024-09-07
62,3324,263,3,0.06,2024-10-25
63,1614,2288,2,0.15,2023-11-02
64,7296,10623,1,0.27,2024-08-26
65,3130,2385,1,0.22,2024-05-19
66,1719,15790,2,0.1,2025-06-15
67,5656,16036,1,0.26,2024-07-03
68,7820,14474,2,0.26,2023-10-25
69,7026,12523,3,0.02,2025-08-14
70,1294,12742,2,0.1,2023-09-04
71,5607,6419,3,0.11,2023-11-26
72,7452,15504,2,0.16,2025-03-05
73,509,16446,5,0.23,2025-06-16
74,3188,16219,2,0.1,2023-10-16
75,5700,14060,1,0.12,2024-11-25
76,8766,19608,5,0.06,2024-05-02
77,8130,10348,1,0.03,2024-11-26
78,9072,4095,1,0.27,2025-08-08
79,2771,16293,1,0.23,2025-03-14
80,3915,13014,3,0.21,2025-08-13
81,5775,15606,4,0.02,2025-01-09
82,708,11799,2,0.24,2024-03-11
83,2836,6211,4,0.24,2023-12-21
84,5088,6434,3,0.09,2024-04-14
85,7901,18203,1,0.04,2025-04-19
86,2820,14126,1,0.15,2023-12-30
87,8740,12612,5,0.21,2024-01-17
88,3538,11040,5,0.27,2024-07-06
89,3077,18693,4,0.22,2024-12-24
90,4354,14665,5,0.03,2024-11-18
91,6614,13098,3,0.17,2024-09-04
92,1325,9285,3,0.08,2025-06-25
93,279,7420,2,0.21,2023-10-12
94,2024,4886,3,0.19,2025-07-06
95,9279,3693,3,0.25,2024-06-13
96,8005,8666,2,0.27,2024-08-19
97,5379,16561,5,0.03,2024-05-03
98,9855,12452,3,0.09,2024-11-25
99,8882,4936,4,0.28,2024-10-15
100,7517,6046,1,0.08,2024-05-02
101,7146,16633,5,0.06,2025-01-28
102,4372,5500,3,0.04,2024-12-23
103,5247,591,3,0.16,2024-07-12
104,966,375,4,0.01,2023-08-26
105,8065,429,5,0.21,2024-01-20
106,6533,4137,3,0.01,2025-06-06
107,2089,18336,2,0.28,2025-06-01
108,3533,1718,1,0.2,2025-07-21
109,2994,15361,2,0.07,2023-10-28
110,5277,5020,5,0.27,2025-08-14
111,2920,10385,4,0.01,2025-02-16
112,2331,13115,4,0.05,2023-11-03
113,8873,5501,3,0.15,2025-03-12
114,1235,11795,4,0.15,2025-02-03
115,2016,15736,3,0.07,2025-01-03
116,6652,7434,5,0.13,2025-05-28
117,6268,19482,1,0.07,2024-12-25
118,1909,17252,3,0.07,2025-07-28
119,6700,17555,2,0.05,2023-12-01
120,9584,16882,2,0.29,2024-11-23
121,6746,19115,1,0.18,2024-01-22
122,7231,3538,4,0.16,2024-03-11
123,3402,337,1,0.21,2024-11-03
124,462,12061,4,0.09,2023-09-02
125,1336,10539,5,0.18,2023-10-30
126,8985,18994,4,0.25,2024-03-05
127,8538,4874,5,0.14,2024-10-30
128,8785,6843,2,0.3,2024-07-18
129,1594,17897,2,0.2,2025-08-13
130,298,4252,1,0.1,2024-11-16
131,8063,7852,2,0.28,2024-06-19
132,105,17511,2,0.21,2023-11-26
